group,pk,sk,exchange,attack,guesses,cardinality
S8,5,1,753.953,0.024,7,40320
S8,5,1,124.121,0.016,2,40320
S8,5,1,126.088,0.019,12,40320
S8,5,1,125.956,0.016,6,40320
S8,5,1,125.545,0.021,15,40320
S8,5,1,124.303,0.021,15,40320
S8,5,1,123.835,0.019,11,40320
S8,5,1,126.083,0.016,6,40320
S8,5,1,123.674,0.021,15,40320
S8,5,1,123.812,0.015,4,40320
S8,5,2,123.846,0.091,119,40320
S8,5,2,124.797,0.082,106,40320
S8,5,2,123.793,0.075,98,40320
S8,5,2,123.162,0.109,149,40320
S8,5,2,123.502,0.081,91,40320
S8,5,2,124.902,0.033,31,40320
S8,5,2,123.739,0.026,19,40320
S8,5,2,125.099,0.077,88,40320
S8,5,2,122.687,0.097,129,40320
S8,5,2,124.517,0.121,165,40320
S8,5,3,123.633,0.343,434,40320
S8,5,3,124.37,0.9,1161,40320
S8,5,3,123.868,0.289,366,40320
S8,5,3,125.329,0.227,287,40320
S8,5,3,123.401,0.869,1146,40320
S8,5,3,123.401,0.486,631,40320
S8,5,3,123.636,0.685,889,40320
S8,5,3,124.275,1.102,1461,40320
S8,5,3,122.695,0.1,116,40320
S8,5,3,122.598,0.854,1138,40320
S8,5,4,123.137,7.039,8378,40320
S8,5,4,285.69,11.151,13279,40320
S8,5,4,128.519,6.489,7691,40320
S8,5,4,125.074,6.001,7141,40320
S8,5,4,124.932,11.363,13484,40320
S8,5,4,123.568,0.531,627,40320
S8,5,4,130.821,5.508,6381,40320
S8,5,4,125.024,1.364,1615,40320
S8,5,4,125.747,4.721,5513,40320
S8,5,4,125.104,8.81,10349,40320
S8,5,5,147.51,40.325,43366,40320
S8,5,5,121.27,18.786,20028,40320
S8,5,5,120.188,41.995,45942,40320
S8,5,5,120.835,53.823,58593,40320
S8,5,5,120.368,29.918,33100,40320
S8,5,5,118.702,22.348,24113,40320
S8,5,5,118.449,53.427,57584,40320
S8,5,5,120.215,57.991,64513,40320
S8,5,5,118.986,104.315,115396,40320
S8,5,5,120.207,10.381,11346,40320
S8,5,6,122.697,9.383,9527,40320
S8,5,6,122.372,201.277,200325,40320
S8,5,6,140.161,70.681,69400,40320
S8,5,6,120.638,70.061,69891,40320
S8,5,6,119.784,40.749,41109,40320
S8,5,6,119.025,118.913,120253,40320
S8,5,6,121.239,65.364,66954,40320
S8,5,6,120.13,2.442,2371,40320
S8,5,6,122.164,11.207,11200,40320
S8,5,6,125.664,103.771,106114,40320
S8,5,7,119.756,225.54,211238,40320
S8,5,7,135.163,89.23,81105,40320
S8,5,7,120.457,111.951,102798,40320
S8,5,7,122.492,9.834,8850,40320
S8,5,7,123.79,831.124,763516,40320
S8,5,7,146.236,127.09,111070,40320
S8,5,7,122.435,117.393,108939,40320
S8,5,7,121.67,486.257,446435,40320
S8,5,7,136.285,154.329,140585,40320
S8,5,7,121.324,233.532,214146,40320
S16,5,1,188.407,0.019,8,20922789888000
S16,5,1,163.232,0.029,19,20922789888000
S16,5,1,165.761,0.024,10,20922789888000
S16,5,1,163.937,0.023,13,20922789888000
S16,5,1,165.386,0.022,12,20922789888000
S16,5,1,163.487,0.021,11,20922789888000
S16,5,1,164.28,0.023,12,20922789888000
S16,5,1,164.128,0.017,4,20922789888000
S16,5,1,164.161,0.022,7,20922789888000
S16,5,1,162.132,0.02,8,20922789888000
S16,5,2,163.097,0.137,159,20922789888000
S16,5,2,162.644,0.041,31,20922789888000
S16,5,2,162.46,0.133,144,20922789888000
S16,5,2,162.567,0.096,108,20922789888000
S16,5,2,162.831,0.094,100,20922789888000
S16,5,2,164.622,0.105,113,20922789888000
S16,5,2,162.662,0.103,117,20922789888000
S16,5,2,162.28,0.071,72,20922789888000
S16,5,2,163.421,0.038,26,20922789888000
S16,5,2,164.841,0.099,110,20922789888000
S16,5,3,164.894,0.672,723,20922789888000
S16,5,3,165.275,0.43,480,20922789888000
S16,5,3,165.325,1.277,1343,20922789888000
S16,5,3,165.616,1.262,1383,20922789888000
S16,5,3,164.939,0.239,261,20922789888000
S16,5,3,164.219,1.401,1515,20922789888000
S16,5,3,164.019,0.97,1041,20922789888000
S16,5,3,165.52,1.105,1217,20922789888000
S16,5,3,191.526,0.413,449,20922789888000
S16,5,3,164.812,0.502,532,20922789888000
S16,5,4,165.041,14.946,14744,20922789888000
S16,5,4,164.355,3.326,3182,20922789888000
S16,5,4,160.495,9.105,8776,20922789888000
S16,5,4,169.726,9.366,9279,20922789888000
S16,5,4,164.109,2.052,2019,20922789888000
S16,5,4,161.582,7.439,7485,20922789888000
S16,5,4,176.438,6.907,7021,20922789888000
S16,5,4,166.555,9.971,9849,20922789888000
S16,5,4,166.087,8.171,8014,20922789888000
